Descrição do Item,Categoria,Valor,Data
Serviço de planeamento fiscal trimestral - Cód. K2510,Serviços de Contabilidade,8186.59€,03.03.2023
Fotnecimento de gestão de resíduos para instalações - tarifa simples (EDP) - Cód. Q7864,Energia e Utilidades,7964.42 €,12/01/2023
Fornecimento de gás natural para instalações - tarifa bi-horária (Galp) (Período: Fev/2024),Energia e Utilidades,4668.60 €,13.09.2023
Serviço de email marketing para YouTube (Período: Jun/2024),Serviços de Marketing,8610.36 €,14.10.2023
Formação em línguas estrangeiras para colaboradores - presencial 16 horas - Fatura nº 3882/2024,Formação e Desenvolvimento,8145.23 €,09.05.2023
Fornecimento de pacote de pastas de arquivo para escritório - Fatura nº 1040/2024,Material de Escritório,7886.25 €,05-06-2023
Formação em liderança para colaboradores - blended 8 horas (NIF: 1578653645),Formação e Desenvolvimento,1070.80 €,06-09-2023
Consultoria em transformação digital - pontual (Período: Jul/2024),Serviços de Consultoria,4054.59 €,07/01/2023
Formação em competências digitais para colaboradores - presencial 24 horas (NIF: 6162588639),Formação e Desenvolvimento,3871.11 €,17/04/2023
Serviço de auditoria financeira trimestral conforme SOX - Ref: B897,Serviços de Auditoria,3692.85€,04/07/2023
Formação em RGPD para colaboradores - blended 8 horas - Fatura nº 5019/2024,Formação e Desenvolvimento,4126.98€,30.10.2023
Contratação de seguro de resplnsabilidade civil - cobertura premium (Generali) (NIF: 5865791394),Seguros,9949.24€,09.06.2023
Serviço de linha verde empresarial 500 Mbps - Vodafone - Ref: V277,Telecomunicações,9707.25€,2023-10-04
Serviço de branding para Facebook - Cód. W6279,Serviços de Marketing,3219.21€,07.02.2023
Serviço jurídico de recuperação de créditos - elaboração de procuração - Ref: B904,Serviços Jurídicos,9008.06 €,05-11-2023
Serviço de campanha publicitária para Facebook (Período: Jul/2024),Serviços de Marketing,2800.25€,24-02-2023
Consultoria em inovação - pontual - Fatura nº 8202/2024,Serviços de Consultoria,5705.89 €,04.03.2023
Licença cloud de Antivírus Corporativo Enterprise (Período: Mar/2024),Licenciamento de Software,819.73 €,2023-12-14
Formação em gestão de equipas remotas para colaboradores - presencial 40 horas (NIF: 9745297818),Formação e Desenvolvimento,9701.06 €,2023-04-07
Serviço de centralita virtual empresarial 500 Mbps - NOWO (Período: Mai/2024),Telecomunicações,9864.08 €,09.12.2023
Serviço de internet de fibra ótica empresarial 1 Gbps - NOWO (Período: Mai/2024),Telecomunicações,5641.68€,2023-11-24
secretária em madeira branco para escritório - Fatura nº 8001/2024,Mobiliário e Equipamento de Escritório,4622.84€,23/02/2023
Serviço de auditoria de qualidade trimestral conforme ISO 14001 - Cód. O8311,Serviços de Auditoria,7066.92 €,01.12.2023
Setviço de produção de vídeo para Instagram (Período: Out/2024),Serviços de Marketing,7973.88 €,10-10-2023
Serviço jurídico de propriedade intelectual - elaboração de procuração - Ref: K797,Serviços Jurídicos,2237.35 €,07/08/2023
